claim_id,slide,metric,value,unit,source_artifact,source_field_or_row,notes
MAIN2-D8-depth,MAIN-2,circuit_depth,246.0,layers,stage6a/artifacts/scaling/circuits/qera-d8-seed6108-p1.synthesis.json,depth,
MAIN2-D8-twoq,MAIN-2,two_qubit_gates,280.0,gates,stage6a/artifacts/scaling/circuits/qera-d8-seed6108-p1.synthesis.json,two_qubit_gate_count,D=8 is synthesis-only.
MAIN2-K,MAIN-2,paths_per_demand,3.0,paths,artifacts/post6a/repeatability/manifest.json,frozen_configuration / circuit width D*K,Fixed K.
MAIN2-p,MAIN-2,qaoa_depth,1.0,layers,artifacts/post6a/repeatability/manifest.json,frozen_configuration.qaoa_depth,
MAIN3-seed-6106,MAIN-3,optimizer_seed,6106.0,seed,artifacts/post6a/repeatability/d6_repeatability.csv,optimizer_seed=6106,
MAIN3-6106-qaoa-gap,MAIN-3,qaoa_best_feasible_objective_gap,0.0083570668063473,normalized objective gap,artifacts/post6a/repeatability/processed/seed-6106/summary.json,selected_exact_gap,
MAIN3-6106-random-gap,MAIN-3,random_bit_best_feasible_objective_gap,0.0124331410051215,normalized objective gap,artifacts/post6a/repeatability/controls/seed-6106/uniform_random_bitstrings/summary.json,selected_exact_gap,
MAIN3-6106-qaoa-regret,MAIN-3,qaoa_best_feasible_worst_case_regret,0.1988286326818207,normalized regret,artifacts/post6a/repeatability/processed/seed-6106/summary.json,best_sampled_worst_case_regret,
MAIN3-6106-random-regret,MAIN-3,random_bit_best_feasible_worst_case_regret,0.2334551876707208,normalized regret,artifacts/post6a/repeatability/controls/seed-6106/uniform_random_bitstrings/summary.json,best_sampled_worst_case_regret,
MAIN3-seed-6201,MAIN-3,optimizer_seed,6201.0,seed,artifacts/post6a/repeatability/d6_repeatability.csv,optimizer_seed=6201,
MAIN3-6201-qaoa-gap,MAIN-3,qaoa_best_feasible_objective_gap,0.0021617293835068,normalized objective gap,artifacts/post6a/repeatability/processed/seed-6201/summary.json,selected_exact_gap,
MAIN3-6201-random-gap,MAIN-3,random_bit_best_feasible_objective_gap,0.0559058485648355,normalized objective gap,artifacts/post6a/repeatability/controls/seed-6201/uniform_random_bitstrings/summary.json,selected_exact_gap,
MAIN3-6201-qaoa-regret,MAIN-3,qaoa_best_feasible_worst_case_regret,0.1840550424162231,normalized regret,artifacts/post6a/repeatability/processed/seed-6201/summary.json,best_sampled_worst_case_regret,
MAIN3-6201-random-regret,MAIN-3,random_bit_best_feasible_worst_case_regret,0.4253232350353104,normalized regret,artifacts/post6a/repeatability/controls/seed-6201/uniform_random_bitstrings/summary.json,best_sampled_worst_case_regret,
MAIN3-seed-6202,MAIN-3,optimizer_seed,6202.0,seed,artifacts/post6a/repeatability/d6_repeatability.csv,optimizer_seed=6202,
MAIN3-6202-qaoa-gap,MAIN-3,qaoa_best_feasible_objective_gap,0.0486272123164215,normalized objective gap,artifacts/post6a/repeatability/processed/seed-6202/summary.json,selected_exact_gap,
MAIN3-6202-random-gap,MAIN-3,random_bit_best_feasible_objective_gap,0.139230198034465,normalized objective gap,artifacts/post6a/repeatability/controls/seed-6202/uniform_random_bitstrings/summary.json,selected_exact_gap,
MAIN3-6202-qaoa-regret,MAIN-3,qaoa_best_feasible_worst_case_regret,0.3634906760559625,normalized regret,artifacts/post6a/repeatability/processed/seed-6202/summary.json,best_sampled_worst_case_regret,
MAIN3-6202-random-regret,MAIN-3,random_bit_best_feasible_worst_case_regret,0.7190304970673163,normalized regret,artifacts/post6a/repeatability/controls/seed-6202/uniform_random_bitstrings/summary.json,best_sampled_worst_case_regret,
MAIN3-seed-6203,MAIN-3,optimizer_seed,6203.0,seed,artifacts/post6a/repeatability/d6_repeatability.csv,optimizer_seed=6203,
MAIN3-6203-qaoa-gap,MAIN-3,qaoa_best_feasible_objective_gap,0.0035156258400871,normalized objective gap,artifacts/post6a/repeatability/processed/seed-6203/summary.json,selected_exact_gap,
MAIN3-6203-random-gap,MAIN-3,random_bit_best_feasible_objective_gap,0.0574767241123712,normalized objective gap,artifacts/post6a/repeatability/controls/seed-6203/uniform_random_bitstrings/summary.json,selected_exact_gap,
MAIN3-6203-qaoa-regret,MAIN-3,qaoa_best_feasible_worst_case_regret,0.1955564940132416,normalized regret,artifacts/post6a/repeatability/processed/seed-6203/summary.json,best_sampled_worst_case_regret,
MAIN3-6203-random-regret,MAIN-3,random_bit_best_feasible_worst_case_regret,0.4765242044465499,normalized regret,artifacts/post6a/repeatability/controls/seed-6203/uniform_random_bitstrings/summary.json,best_sampled_worst_case_regret,
MAIN3-seed-6204,MAIN-3,optimizer_seed,6204.0,seed,artifacts/post6a/repeatability/d6_repeatability.csv,optimizer_seed=6204,
MAIN3-6204-qaoa-gap,MAIN-3,qaoa_best_feasible_objective_gap,0.0360051338989446,normalized objective gap,artifacts/post6a/repeatability/processed/seed-6204/summary.json,selected_exact_gap,
MAIN3-6204-random-gap,MAIN-3,random_bit_best_feasible_objective_gap,0.0421620246111084,normalized objective gap,artifacts/post6a/repeatability/controls/seed-6204/uniform_random_bitstrings/summary.json,selected_exact_gap,
MAIN3-6204-qaoa-regret,MAIN-3,qaoa_best_feasible_worst_case_regret,0.3111777341223883,normalized regret,artifacts/post6a/repeatability/processed/seed-6204/summary.json,best_sampled_worst_case_regret,
MAIN3-6204-random-regret,MAIN-3,random_bit_best_feasible_worst_case_regret,0.4386513641454554,normalized regret,artifacts/post6a/repeatability/controls/seed-6204/uniform_random_bitstrings/summary.json,best_sampled_worst_case_regret,
MAIN3-objective-wins,MAIN-3,qaoa_objective_pairwise_wins,5.0,of 5 seeds,artifacts/post6a/repeatability/d6_control_comparison_summary.json,best_objective_gap_pairwise_wins_over_random_bits,
MAIN3-regret-wins,MAIN-3,qaoa_regret_pairwise_wins,5.0,of 5 seeds,artifacts/post6a/repeatability/d6_control_comparison_summary.json,best_worst_case_regret_pairwise_wins_over_random_bits,
BACKUP1-static,BACKUP-1,original_static_S3_survival,100.0,percent,artifacts/evolution_ablation/tables/evolution_policy_comparison.csv,policy_label=original_static_S3; final_survival_rate,
BACKUP1-adaptive,BACKUP-1,original_adaptive_S3_eta1_survival,91.66666666666666,percent,artifacts/evolution_ablation/tables/evolution_policy_comparison.csv,policy_label=original_adaptive_S3; final_survival_rate,"S=3, eta=1, T=3, rho=0."
BACKUP1-Sge5,BACKUP-1,focused_S_ge_5_mean_survival,100.0,percent,artifacts/evolution_ablation/tables/evolution_factor_summary.csv,"analysis_set=B4-focused-rho0; factor=S; values=5,8,12; mean_final_survival",Mean of the three frozen factor-summary rows; every row equals 100%.
BACKUP1-rho05,BACKUP-1,rho_0_5_aggregate_survival,100.0,percent,artifacts/evolution_ablation/tables/evolution_factor_summary.csv,analysis_set=matched-B5-settings; factor=rho; value=0.5; mean_final_survival,
BACKUP1-S,BACKUP-1,original_training_environment_count,3.0,environments,artifacts/evolution_ablation/tables/evolution_policy_comparison.csv,policy_label=original_adaptive_S3; S,
BACKUP1-eta,BACKUP-1,original_selection_strength,1.0,eta,artifacts/evolution_ablation/tables/evolution_policy_comparison.csv,policy_label=original_adaptive_S3; eta,
BACKUP1-S-threshold,BACKUP-1,focused_environment_threshold,5.0,environments,artifacts/evolution_ablation/tables/evolution_factor_summary.csv,"factor=S; values 5,8,12",
BACKUP1-rho,BACKUP-1,diversity_mixing,0.5,rho,artifacts/evolution_ablation/tables/evolution_factor_summary.csv,analysis_set=matched-B5-settings; factor=rho; value=0.5,
BACKUP2-x-onehot,BACKUP-2,x_mixer_onehot_probability,5.224609375,percent,artifacts/runs/uniform_cost_p1_smoke/summary.json,one_hot_probability,
BACKUP2-xy-onehot,BACKUP-2,constraint_mixer_onehot_probability,100.0,percent,artifacts/stage6b/d4/d4_correctness_gates.json,unoptimized_full_ansatz.sample_invalid_shots / sample_shots,
BACKUP2-x-depth,BACKUP-2,x_mixer_depth,65.0,layers,artifacts/stage6b/tables/circuit_resource_comparison.csv,mixer=transverse_x_frozen; depth,
BACKUP2-xy-depth,BACKUP-2,constraint_mixer_depth,101.0,layers,artifacts/stage6b/tables/circuit_resource_comparison.csv,mixer=constraint_preserving_xy; depth,
BACKUP2-x-twoq,BACKUP-2,x_mixer_two_qubit_gates,84.0,gates,artifacts/stage6b/tables/circuit_resource_comparison.csv,mixer=transverse_x_frozen; two_qubit_gate_count,
BACKUP2-xy-twoq,BACKUP-2,constraint_mixer_two_qubit_gates,164.0,gates,artifacts/stage6b/tables/circuit_resource_comparison.csv,mixer=constraint_preserving_xy; two_qubit_gate_count,
BACKUP2-D,BACKUP-2,demand_count,4.0,demands,artifacts/stage6b/tables/circuit_resource_comparison.csv,D,
BACKUP2-p,BACKUP-2,qaoa_depth,1.0,layers,artifacts/stage6b/tables/circuit_resource_comparison.csv,p,
BACKUP3-routes,BACKUP-3,exact_valid_routes,81.0,routes,artifacts/tables/encoding_proof.json,valid_assignments_checked_per_run,
BACKUP3-bitstates,BACKUP-3,qubo_ising_states_checked,4096.0,bitstrings,artifacts/tables/encoding_proof.json,states_checked_per_run,
BACKUP3-tests-passed,BACKUP-3,integrated_tests_passed,132.0,tests,artifacts/stage6b/regression/final_verification.json; artifacts/evolution_ablation/final_verification.json,stage6b total_tests + evolution_ablation passed,
BACKUP3-tests-failed,BACKUP-3,integrated_tests_failed,0.0,tests,artifacts/stage6b/regression/final_verification.json; artifacts/evolution_ablation/final_verification.json,stage6b total_failures + evolution status,
